Symbol,Beta_5Y,Correlation,Positive_Beta,Negative_Beta,Data_Points,Positive_Days,Negative_Days
PLTR,1.9365896454220395,0.444412891083124,1.8758156019101742,1.963923092235239,1069,577,490
NVDA,1.7873182248201718,0.6959875497925723,1.6621325280346095,1.6056515612957725,1257,688,567
TSLA,1.61100509042556,0.5031121397760836,0.9945070645663173,1.6958317135395427,1257,688,567
AAPL,1.1937710342863423,0.7906283508152315,1.2195234787045894,1.1381570040538822,1257,688,567
MSFT,1.1906503834113202,0.8191092706468663,1.2306377821163617,1.1597313997916034,1257,688,567
GOOGL,1.1533634848033827,0.7445872797165386,1.080629968113554,1.13611731500467,1257,688,567
AMZN,1.1047964174623566,0.644514501400678,0.9228759853921433,1.0346544826605562,1257,688,567
META,1.329363195204914,0.6211757601084259,1.240874469784309,1.2214503974622128,1257,688,567
COIN,2.803913728333684,0.5198236816702685,2.6778769200792887,2.7265968881346163,935,502,431
KO,0.629648864663486,0.6351140641087673,0.6782705680675554,0.7590706135890664,1257,688,567
JNJ,0.4860139943816433,0.5187505002100775,0.6914923272769178,0.5265617916386603,1257,688,567
PG,0.5535153603865396,0.555013056804369,0.7614376935572031,0.6011096453583554,1257,688,567
